food_id,food_name_ko,food_name_en,category,subcategory,serving_size_g,serving_label,gi_value,gi_grade,carbs_g,sugar_g,kcal,data_source,notes
KR_FRU_013,망고,Mango,과일,생과일,150,1컵,60,주의,25,22.0,99,식약처+Sydney GI,
KR_FRU_014,감,Persimmon,과일,생과일,150,1개,61,주의,34,27.0,118,식약처+Sydney GI,
KR_FRU_015,귤,Tangerine,과일,생과일,100,2개,43,안심,12,9.5,47,식약처+Sydney GI,
KR_DES_001,치즈케이크,Cheesecake,디저트,케이크,120,1조각,63,주의,32,24.0,420,식약처+Sydney GI,
KR_DES_002,초코케이크,Chocolate Cake,디저트,케이크,120,1조각,69,주의,45,33.0,450,식약처+Sydney GI,
KR_DES_003,티라미수,Tiramisu,디저트,케이크,100,1조각,65,주의,36,25.0,390,추정,추정
KR_DES_004,마카롱,Macaron,디저트,쿠키,25,1개,82,위험,18,15.0,110,식약처+Sydney GI,
KR_DES_005,도넛,Donut,디저트,빵디저트,70,1개,76,위험,34,16.0,290,식약처+Sydney GI,
KR_DES_006,와플,Waffle,디저트,빵디저트,100,1개,75,위험,48,12.0,320,식약처+Sydney GI,
KR_DES_007,빙수,Bingsu,디저트,빙과,300,1그릇,70,위험,58,41.0,410,식약처+Sydney GI,
KR_DES_008,아이스크림,Ice Cream,디저트,빙과,100,1컵,61,주의,24,21.0,207,식약처+Sydney GI,
KR_DES_009,쿠키,Cookie,디저트,과자,50,3개,64,주의,33,16.0,250,식약처+Sydney GI,
KR_DES_010,핫케이크,Pancake,디저트,브런치디저트,120,2장,67,주의,45,12.5,310,추정,추정
KR_BEV_001,콜라,Cola,음료,탄산음료,250,1캔,63,주의,27,27.0,108,식약처+Sydney GI,
KR_BEV_002,사이다,Lemon Lime Soda,음료,탄산음료,250,1캔,68,주의,29,29.0,120,식약처+Sydney GI,
KR_BEV_003,오렌지주스,Orange Juice,음료,주스,200,1컵,50,안심,21,20.0,90,식약처+Sydney GI,
KR_BEV_004,포도주스,Grape Juice,음료,주스,200,1컵,59,주의,36,35.0,150,식약처+Sydney GI,
KR_BEV_005,바나나우유,Banana Milk,음료,가공우유,240,1팩,62,주의,31,27.0,208,식약처+Sydney GI,
KR_BEV_006,초코우유,Chocolate Milk,음료,가공우유,240,1팩,49,안심,30,26.0,190,식약처+Sydney GI,
KR_BEV_007,밀크티,Bubble Milk Tea,음료,카페음료,350,1컵,67,주의,52,44.0,320,추정,추정
KR_BEV_008,아메리카노,Americano,음료,커피,355,1잔,0,안심,1,0.0,10,식약처+Sydney GI,
KR_BEV_009,카페라떼,Caffe Latte,음료,커피,355,1잔,41,안심,13,11.0,180,식약처+Sydney GI,
KR_BEV_010,딸기스무디,Strawberry Smoothie,음료,스무디,400,1컵,65,주의,58,49.0,330,추정,추정
KR_KOR_001,김치찌개,Kimchi Stew,한식,찌개,400,1뚝배기,38,안심,12,5.0,210,식약처+Sydney GI,
KR_KOR_002,된장찌개,Soybean Paste Stew,한식,찌개,400,1뚝배기,32,안심,10,3.2,180,식약처+Sydney GI,
KR_KOR_003,불고기,Bulgogi,한식,고기요리,250,1인분,46,안심,18,10.0,420,식약처+Sydney GI,
KR_KOR_004,갈비탕,Galbitang,한식,국밥,500,1그릇,48,안심,16,2.5,390,식약처+Sydney GI,
KR_KOR_005,삼계탕,Samgyetang,한식,보양식,800,1그릇,52,안심,22,1.5,560,식약처+Sydney GI,
KR_KOR_006,떡볶이,Tteokbokki,한식,분식,300,1인분,82,위험,68,16.0,450,식약처+Sydney GI,
KR_KOR_007,순두부찌개,Soft Tofu Stew,한식,찌개,400,1뚝배기,34,안심,11,3.0,230,식약처+Sydney GI,
KR_KOR_008,제육볶음,Spicy Pork Stir Fry,한식,고기요리,250,1인분,44,안심,14,8.0,470,식약처+Sydney GI,
KR_KOR_009,닭갈비,Dakgalbi,한식,볶음요리,300,1인분,55,안심,20,10.0,510,식약처+Sydney GI,
KR_KOR_010,감자탕,Gamjatang,한식,탕류,600,1그릇,57,주의,24,4.0,520,추정,추정
KR_KOR_011,부대찌개,Budae Jjigae,한식,찌개,500,1냄비,60,주의,28,6.5,610,식약처+Sydney GI,
KR_KOR_012,잡채,Japchae,한식,반찬,200,1접시,59,주의,38,14.0,310,식약처+Sydney GI,
KR_KOR_013,해물파전,Seafood Pancake,한식,전요리,250,1장,64,주의,36,3.0,450,식약처+Sydney GI,
KR_KOR_014,계란말이,Rolled Omelette,한식,반찬,120,1접시,15,안심,4,2.0,180,식약처+Sydney GI,
KR_KOR_015,오징어볶음,Stir-fried Squid,한식,볶음요리,200,1접시,51,안심,16,7.0,260,추정,추정
KR_WES_001,햄버거,Hamburger,양식,패스트푸드,220,1개,66,주의,40,8.0,540,식약처+Sydney GI,
KR_WES_002,치즈버거,Cheeseburger,양식,패스트푸드,240,1개,65,주의,42,9.0,590,식약처+Sydney GI,
KR_WES_003,피자,Pizza,양식,패스트푸드,150,2조각,60,주의,38,6.0,420,식약처+Sydney GI,
KR_WES_004,스테이크,Steak,양식,메인요리,250,1인분,0,안심,2,0.0,520,식약처+Sydney GI,
KR_WES_005,오므라이스,Omurice,양식,라이스요리,350,1접시,73,위험,78,8.0,590,식약처+Sydney GI,
KR_WES_006,초밥,Sushi,일식,초밥,250,10개,68,주의,74,9.0,430,식약처+Sydney GI,
KR_WES_007,돈까스,Tonkatsu,일식,튀김요리,300,1접시,63,주의,32,5.0,680,식약처+Sydney GI,
KR_WES_008,규동,Gyudon,일식,덮밥,450,1그릇,75,위험,88,12.0,720,추정,추정
KR_SNA_001,감자칩,Potato Chips,간식,스낵,60,1봉지,56,주의,32,1.0,320,식약처+Sydney GI,
KR_SNA_002,팝콘,Popcorn,간식,스낵,50,1컵,72,위험,28,0.5,250,식약처+Sydney GI,
KR_SNA_003,프레첼,Pretzel,간식,스낵,50,1봉지,83,위험,40,2.0,230,식약처+Sydney GI,
KR_SNA_004,초코바,Chocolate Bar,간식,초콜릿,50,1개,62,주의,30,24.0,260,식약처+Sydney GI,
KR_SNA_005,에너지바,Energy Bar,간식,바형간식,60,1개,58,주의,34,12.0,240,추정,추정
KR_SNA_006,찐고구마,Steamed Sweet Potato,간식,고구마,150,1개,63,주의,35,7.0,135,식약처+Sydney GI,
KR_SNA_007,군고구마,Roasted Sweet Potato,간식,고구마,150,1개,94,위험,41,13.0,180,식약처+Sydney GI,
KR_SNA_008,호떡,Hotteok,간식,전통간식,100,1개,77,위험,56,18,286,식약처+Sydney GI,
KR_SNA_009,붕어빵,Bungeoppang,간식,전통간식,100,1개,74,위험,44.12,11.98,254,추정,추정
KR_SNA_010,약과,Yakgwa,간식,전통과자,100,2개,80,위험,71.7,18.0,422,추정,추정
